lon,lat,avg_pm2_5
121.3856774,41.05954614,0.361844359
113.499,22.285925,0.176389739
119.957365,36.78975,0.305614096
114.9962023,30.20217391,0.332742944
117.5387,36.7013,0.437349314
129.0924,47.97323333,0.10412342
116.7973,33.94026667,0.493282954
118.3739583,31.36784725,0.405229683
111.1328778,37.5149,0.426686722
125.94235,41.72685,0.195418195
114.0090185,32.98931481,0.510218519
111.47422,27.25482,0.3523319
106.7017971,26.55266858,0.217918015
110.4822747,29.22293975,0.211735979
91.7657,29.24615,0.015605062
117.4857,30.65853333,0.361189831
120.2750333,31.91430667,0.427108525
117.702063,36.2182926,0.592356608
109.97888,27.55854,0.249500856
103.21015,35.6018,0.365401998
103.7602,29.5738,0.368273556
114.4002111,36.08646667,0.646696818
119.9036111,32.43243056,0.394203963
109.4273055,24.32704618,0.314673914
114.8956,40.817,0.231101555
97,33.0014,0.06942812
114.92238,25.86134,0.288262013
111.2757,23.46215,0.276868645
115.3611667,38.786875,0.552973157
112.20255,31.0275086,0.469695419
118.3399451,35.05247506,0.420285044
114.8966278,30.4619111,0.319583177
102.2125,31.90816667,0.034588326
92.0581,31.47895,0.221676099
116.6398084,25.67351995,0.236646553
126.6518092,45.74024885,0.304476193
107.35885,22.39225,0.220608119
105.8648333,34.49786667,0.269653646
104.6405,30.133,0.275700127
94.36485,29.6504,0
122.83275,45.6232,0.192125774
106.1848295,37.97544487,0.295655776
112.5159,37.8505625,0.470051491
123.0427028,41.11737633,0.275557485
116.0003323,29.67551289,0.306589626
100.9048,36.9639,0.153774963
100.2281,26.87613333,0.073216344
102.9064746,35.0015277,0.210931686
118.8656667,28.96043333,0.239980557
113.8148148,34.01277778,0.547267454
116.72725,39.54475,0.427514772
107.52278,26.24056,0.16512164
124.12445,50.4243,0.091976458
120.8591732,40.7408054,0.322997957
122.207,29.99016667,0.131600691
99.16945,25.12045,0.126209664
102.27516,27.8656,0.120921112
94.45790667,29.73098667,0.540262298
104.1731,36.54695,0.284735718
117.127718,36.189343,0.429389218
103.85665,30.067125,0.277789072
104.61985,35.58445,0.313172542
114.3783,27.79756,0.298866361
98.85735,25.8492,0.155381126
115.0403889,35.76605556,0.552190411
89.1673,42.9559,0.462690952
115.6554861,34.41665278,0.533388119
108.321375,22.8033,0.240100229
105.8491,32.437375,0.176404618
106.1539667,38.503855,0.301294091
